Name, Price
"Nasco NASF2-80FL Double Door Table Top Fridge - 58 Liters - Silver","GH₵ 1,540.70"
"Asano 32" - 32DF2 Smart Android TV -  Frameless Screen - USB - HDMI - Black + 15 Days Warranty","GH₵ 1,593.00"
"Nasco NASTT-B50FL- 5kg Semi Automatic Twin Tub Washing Machine - White/Black","GH₵ 1,686.00"
"Bruhm BAS-12RCEW Split Air Conditioner - 1.5HP - White","GH₵ 4,534.88"
"7 In 1 S Spray 30m100ft Expandable Garden Hose Latex Tube Magic","GH₵ 129.00"
"Skin Care 20 Pieces Orange Lip Mask","GH₵ 85.00"
"Ghandour Cosmetics Princess Paa Lilac Anti - Perspirant Roll On - 50ml","GH₵ 9.50"
"Delron 2 Burner Electric Hot Plate - 2000W -  Black","GH₵ 211.63"
"Westpool 90 Litres - WP-125A Table Top Refrigerator - Silver","GH₵ 1,883.72"
"Ghandour Cosmetics Style Up Anti-Perspirant Roll On - Fresh - 50ml","GH₵ 9.62"
"3 In 1 Multi Functional Backpack With USB Slot - Black","GH₵ 82.99"
"Samsung Galaxy A16 128GB -Black","GH₵ 2,095.74"
"Hikers GH-32GD-HD 32'' - Digital Satelite LED TV - HDMI - USB - Black","GH₵ 1,243.68"
"Orient 36" Electric Quadro Ornamental 750mm 4 Blades Premium Ceiling Fan-220-240V- 70W - Glossy Brown","GH₵ 515.00"
"6 Way Baby Carrier with Baby Bed And Mosquito Net - Multi","GH₵ 284.00"
"Sexy White Skinny Jeans, Perfect Fit For Your Summer Style","GH₵ 68.41"
"Color - Screen Smart Watch Heart Rate Sport Bracelet","GH₵ 50.00"
"20000mAh Power Bank Fast Charge Black","GH₵ 98.00"
"Mooved 43'' - Frameless Android Smart FHD LED TV - HDMI - Black","GH₵ 2,511.00"
"Men's Riding Mask Balaclava Motorcycle Mask","GH₵ 32.00"
"C Idea CM516 Tablet Tablet With 6GB RAM 128GB ROM  Android 14 Sim Green","GH₵ 700.00"
"Holiday Gift, Christmas Gift, Brazilian Water Wave Lace Front Wig, Transparent Lace Wig, Suitable for Women, Pre-Plucked 4X4 Closure Short Bob Wig, Natural Color, 150% Density, 14inch","GH₵ 149.55"
"3 Cameras Dash Cam Multi-Language Clear Car Rearview Mirror Car Video Recording Camcorder","GH₵ 315.00"
"Icona London ILSAC-1215S Split Type Air Conditioner 1.5hp(R410A Gas) - White + 24 Months Warranty","GH₵ 3,630.00"
"PORTABLE MINI BLUETOOTH SPEAKER CYLINDRICAL TYPE - BLACK","GH₵ 79.00"
"Full Face Cover Motorcycle Protecting Face Cycling Headwear","GH₵ 39.00"
"Fast Charger Head 20W And Type C Cord For iPhones - White","GH₵ 125.00"
"Men's Mid Top Boardshorts Sneakers - Khaki","GH₵ 150.00 - GH₵ 160.00"
"4 In 1 Multi Charging Cable - Black","GH₵ 69.99"
"2.4G WiFi Repeater 300Mbps RJ45 Port Network Extender Remote Router","GH₵ 106.76"
"Starlink Standard Kit - Gen 3 - White","GH₵ 5,800.00"
"Samsung Galaxy A16 128GB -Black","GH₵ 2,095.74"
"Nexon 32" -  Digital Satellite TV - USB - HDMI - Black.","GH₵ 1,307.69"
"Banana 20L -  Microwave Oven - Black","GH₵ 849.00"
"Samsung Galaxy A06 -  128GB + 4GB RAM - 50MP Rear / 8MP Front - 6.7" - 5000 mAh - Black","GH₵ 2,500.00"
"Starlink Mini Kit - High Speed Internet Network - White","GH₵ 3,800.00"
"C Idea 8 Inch Tablet, Google Android 12.0 Dual Cameras Sim 256GB Storage Long Battery Life Tablet For Adults Teenagers CM822 Green","GH₵ 850.00"
"Bruhm 55''- LED BTF-55V UHD Vidaa Smart OS - Black","GH₵ 5,989.01"
"P9 Wireless Bluetooth Headset Noise Reduction Earphones Black","GH₵ 69.00"
"Mitsui 100 Litres - ME-136 Chest Freezer - Silver","GH₵ 2,674.00"
"Itel A50C 4G Lite - 6.56'' - 32GB ROM - 2GB RAM - 8MP Rear /5MP Front - 4000mAh - Black + 12 Months Warranty","GH₵ 947.00"
"Wireless Gamepad For Android Phone/PC/TV Box","GH₵ 169.00"
"Infinix Hot 50i - 6.78'' Display - 128GB ROM - 4GB RAM - 48MP Rear - 8MP Front - 5000mAh - Sleek Black + 12 Months Warranty + Free Gradient Water Bottle","GH₵ 1,665.00"
"Blueing 14" Laptop N3350 6GB+192GB SSD Portable Computer Student Pc","GH₵ 2,017.55"
"TiLECC 2 In 1 Touch Screen Sport Smart Watches With Headphones - Black","GH₵ 141.60"
"Nasco NASD-250W Bluetooth Speaker 25W -  Black","GH₵ 1,482.14"
"Wireless Bluetooth Keyboard Applicable Phone Tablet","GH₵ 90.00"
"Blockbuster，New M90 Bluetooth headset Wireless Eaphs. Touch, HIFI, NR Mic, Power Bank, for Gaming","GH₵ 219.99"
"6A Android White Fast Charging Phone Cable USB/Type-C Orange Data Head","GH₵ 117.04"
"Oraimo Halo 2S Half In-Ear Wired Headphones Durable Kevlar Fiber Cable","GH₵ 45.03"
"GUIXIA Air39 wireless Bluetooth 5.3 earphones, battery level digital display","GH₵ 69.00"
"T800 Ultra Bluetooth Series 8 Smart Watch - Orange","GH₵ 79.00"
"Lenovo LP40 + Bag Bluetooth 5.0 Waterproof Earphone Touch Headset - Black","GH₵ 119.00"
"Oraimo SpaceBuds Neo True Wireless Spatial Earbuds Light Gold","GH₵ 196.01"
"Oraimo Trumpet 3 HIFI Audio In-Ear Headphones High-quality Sound","GH₵ 59.98"
"BLAZE Aluminum Travel Tripod For Camera Phone Mount Flexible Lightweight Tripod Light Stand Photography For Field Youtube Phone","GH₵ 79.00"
"T800 Ultra Bluetooth Series 8 Smart Watch - Orange","GH₵ 89.00"
"Oraimo MagCable 1M 60W Type-C To Type-C Data Cable Fast Charging","GH₵ 109.94"
"6 in 1 Universal Phone Cable","GH₵ 300.00"
"Toumi Multifunctional Wireless Fast Charging Speaker - Black","GH₵ 149.08"
"T800 Ultra Bluetooth Series 8 Smart Watch - White","GH₵ 89.00"
